date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance,kalshi_mean_c,kalshi_median_c,kalshi_mode_c,kalshi_variance_c,kalshi_skew_c,kalshi_kurt_c
2021-08-05,FED-21SEP,2021-09-13,0.00765306122448979,0,0,1,27.0873505263158,0.00185469596001665,0,0,0,0,0,0
2021-08-06,FED-21SEP,2021-09-13,0.00510204081632653,0,0,1,43.08511875000001,0.00124947938359017,-0.0025510204081632595,0,0,-6.052165764264799e-4,0,15.997768223684208
2021-08-07,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,-0.0025510204081632703,0,0,-6.182319866722191e-4,0,48.01458537371131
2021-08-08,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-09,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-10,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-11,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-12,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-13,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-14,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-15,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-16,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-17,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-18,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-19,FED-21SEP,2021-09-13,0,0,0,NA,NA,0,-0.00255102040816326,0,0,-6.312473969179509e-4,NA,NA
2021-08-20,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0.00255102040816326,0,0,6.312473969179509e-4,NA,NA
2021-08-21,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-22,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-23,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-24,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-25,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-26,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-27,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-28,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
