contract_preamble,datetime_6h_utc,datetime_6h_et,expiry_datetime,date,strike,yes_price,interval_volume,adjusted_yes_price,probability,swapped
CPICOREYOY-23SEP,2023-10-05T18:00:00Z,2023-10-05 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-05,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-06T00:00:00Z,2023-10-05 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-06,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-06T06:00:00Z,2023-10-06 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-06,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-06T12:00:00Z,2023-10-06 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-06,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-06T18:00:00Z,2023-10-06 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-06,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-07T00:00:00Z,2023-10-06 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-07,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-07T06:00:00Z,2023-10-07 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-07,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-07T12:00:00Z,2023-10-07 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-07,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-07T18:00:00Z,2023-10-07 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-07,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-08T00:00:00Z,2023-10-07 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-08,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-08T06:00:00Z,2023-10-08 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-08,2.4,0,NA,98,0,FALSE
